date,weather_station,rainfall_nightbefore_mm
2022-10-02,bradford,0.7999999999999999
2022-10-03,bradford,0.0
2022-10-04,bradford,0.0
2022-10-05,bradford,2.8000000000000003
2022-10-06,bradford,4.0
2022-10-07,bradford,0.0
2022-10-08,bradford,6.800000000000001
2022-10-09,bradford,0.0
2022-10-10,bradford,2.2
2022-10-11,bradford,0.0
2022-10-12,bradford,0.0
2022-10-13,bradford,2.6
2022-10-14,bradford,0.0
2022-10-15,bradford,1.8
2022-10-16,bradford,3.8000000000000003
2022-10-17,bradford,2.0
2022-10-18,bradford,0.0
2022-10-19,bradford,0.0
2022-10-20,bradford,0.0
2022-10-21,bradford,19.4
2022-10-22,bradford,1.6
2022-10-23,bradford,0.0
2022-10-24,bradford,6.6
2022-10-25,bradford,0.7999999999999999
2022-10-26,bradford,0.2
2022-10-27,bradford,0.2
2022-10-28,bradford,0.2
2022-10-29,bradford,0.0
2022-10-30,bradford,2.2
2022-10-31,bradford,0.2
2022-11-01,bradford,27.2
2022-11-02,bradford,2.6
2022-11-03,bradford,8.6
2022-11-04,bradford,0.0
2022-11-05,bradford,0.0
2022-11-06,bradford,0.4
2022-11-07,bradford,0.2
2022-11-08,bradford,0.0
2022-11-09,bradford,0.8
2022-11-10,bradford,1.0
2022-11-11,bradford,0.0
2022-11-13,bradford,0.0
2022-11-15,bradford,0.2
2022-11-16,bradford,19.8
2022-11-17,bradford,1.5999999999999999
2022-11-18,bradford,15.6
2022-11-19,bradford,0.4
2022-11-20,bradford,4.6000000000000005
2022-11-21,bradford,6.3999999999999995
2022-11-22,bradford,12.2
2022-11-23,bradford,0.0
2022-11-24,bradford,3.8
2022-11-25,bradford,7.6
2022-11-26,bradford,0.0
2022-11-27,bradford,0.8
2022-11-28,bradford,0.0
2022-11-29,bradford,0.0
2022-11-30,bradford,0.4
2022-12-01,bradford,0.0
2022-12-02,bradford,0.0
2022-12-03,bradford,0.0
2022-12-04,bradford,0.8
2022-12-05,bradford,0.4
2022-12-06,bradford,0.2
2022-12-07,bradford,0.0
2022-12-08,bradford,0.0
2022-12-09,bradford,0.0
2022-12-10,bradford,0.0
2022-12-11,bradford,0.2
2022-12-12,bradford,0.0
2022-12-13,bradford,0.0
2022-12-14,bradford,0.0
2022-12-15,bradford,0.0
2022-12-16,bradford,0.0
2022-12-17,bradford,0.2
2022-12-20,bradford,0.6000000000000001
2022-12-21,bradford,0.0
2022-12-22,bradford,0.0
2022-12-23,bradford,0.4
2022-12-24,bradford,14.6
2022-12-25,bradford,1.0
2022-12-26,bradford,0.6
2022-12-27,bradford,2.6
2022-12-28,bradford,12.6
2022-12-29,bradford,6.8
2022-12-30,bradford,0.6
2022-12-31,bradford,1.2
2023-01-01,bradford,11.2
